text(christopher),match sentence
"Brother, I see your meaning well enough,","Come, come, we know your meaning, brother"
"But I refer me to my noblemen,","But you, my noble lords, may name the time;"
"Meander, thou, my faithful counsellor,","What, dost thou scorn me for my gentle counsel?"
Oft have I heard your majesty complain,The news I have to tell your majesty
"Full true thou speak'st, and like thyself, my lord,","Thou speak'st it well. Go, father, with thy son."
"Full true thou speak'st, and like thyself, my lord,",What think'st thou? is it not an easy matter
"Full true thou speak'st, and like thyself, my lord,","As thou and I; who, as thou know'st, are dear"
"Full true thou speak'st, and like thyself, my lord,","Thou speak'st with all thy wit: and yet, i' faith,"
"Full true thou speak'st, and like thyself, my lord,",These evils thou repeat'st upon thyself
"Full true thou speak'st, and like thyself, my lord,","If thou speak'st false,"
"Doubt not, my lord and gracious sovereign,",My gracious sovereign?
"Then now, my lord, I humbly take my leave.",So humbly take my leave.
To hear the king thus threaten like himself!,What! threat you me with telling of the king?
Since Fortune gives you opportunity,"Since this fortune falls to you,"
"And vow to wear it for my country's good,","Or wear it on my sword, yet my poor country"
"I know it well, my lord, and thank you all.","I thank you, good my lord; and thank you all."
"Sound up the trumpets, then.","Make all our trumpets speak; give them all breath,"
God save the king!,God save the king!
God save the king!,God save the king!
Or look you I should play the orator?,"Fear not, my lord, I'll play the orator"
"Come, let us march.","Well, march we on,"
I hear them come:  shall we encounter them?,Shall we well meet them; that way are they coming.
"That I shall be the monarch of the East,",You shall be king.
"Where kings shall crouch unto our conquering swords,",The sword of our slain kings: yet do not fear;
"And now, fair madam, and my noble lords,","And for your grace; and you, my noble lords."
"And now, fair madam, and my noble lords,","But you, my noble lords, may name the time;"
"Shall be my regent, and remain as king.",You shall be king.
"I will, my lord.","We will, my noble lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","You shall, my lord."
"I will, my lord.","Ye shall, my Lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","My lord, I will not."
"I will, my lord.","We will, my noble lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","You shall, my lord."
"I will, my lord.","Ye shall, my Lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","My lord, I will not."
"What think'st thou, man, shall come of our attempts?",What think'st thou? is it not an easy matter
"My lord,","What, my lord?"
"My lord,","My lord,"
"My lord,",My lord?
"My lord,","My lord,"
"My lord,",My lord?
"My lord,",My lord?
"My lord,",My lord!
"My lord,",My Lord!
"My lord,",My lord!
"My lord,","Here, my lord."
"My lord,","It is, my lord."
"My lord,",My lord?
"My lord,",My lord?
"My lord,","It is, my lord."
"My lord,",My lord!
"My lord,","No doubt, my lord."
"My lord,","Not I, my lord."
"My lord,",My lord?
"My lord,","My royal lord,"
"My lord,","What, my good lord?"
"My lord,","My worthy lord,"
"My lord,","No, my lord."
"My lord,","No, indeed, my lord."
"My lord,","Gracious my lord,"
Thou liest.,"What, thou?"
"Your majesty shall shortly have your wish,","My sovereign liege, I do beseech your majesty"
"Your majesty shall shortly have your wish,","Please it your majesty to give me leave,"
"Your majesty shall shortly have your wish,",Thanks to your majesty.
"What, then, my lord?","What one, my lord?"
"What, then, my lord?","What, my gracious lord?"
"What, then, my lord?","What, my lord?"
"What, then, my lord?","My lord,"
"What, then, my lord?",My lord?
"What, then, my lord?","My lord,"
"What, then, my lord?",My lord?
"What, then, my lord?",My lord?
"What, then, my lord?",My lord?
"What, then, my lord?",My lord?
"What, then, my lord?",My lord?
"What, then, my lord?","What, my good lord?"
"What, then, my lord?","No, my lord."
"What, then, my lord?","No, indeed, my lord."
"Then shall we send to this triumphing king,","If we will keep in favour with the king,"
"Then shall we send to this triumphing king,","So should we you, if you should be our king."
"Then shall we send to this triumphing king,",I'll to the king; and signify to him
"Then shall we send to this triumphing king,","Come, go we to the king; our power is ready;"
"We will not steal upon him cowardly,","makes a man a coward: a man cannot steal, but it"
"Treacherous and false Theridamas,","treacherous,"
"To charge him to remain in Asia,",To come abroad with him at his request.
Wherewith he may excruciate thy soul;,His soul thou canst not have; therefore be gone.
"Basso, by this thy lord and master knows",My Lord Bassanio upon more advice
"My lord, the great commander of the world,","My royal lord,"
Whose smiling stars give him assured hope,The right and fortune of his happy stars;
How dare you thus abuse my majesty?,Mean you his majesty?
"What, think'st thou Tamburlaine esteems thy gold?",Know'st thou not any whom corrupting gold
"Mighty lord,","My lord,"
"Mighty lord,","My lord,"
"Mighty lord,","My worthy lord,"
"Of my fair daughter and his princely love,","And for my sister and her princely sons,"
"Of my fair daughter and his princely love,","And for my sister and her princely sons,"
And let the Majesty of Heaven behold,"By heaven, I will acquaint his majesty"
"To chase the savage Calydonian  boar,","To fly the boar before the boar pursues,"
The slavery wherewith he persecutes,Till he faced the slave;
"A sacred vow to heaven and him I make,",I have toward heaven breathed a secret vow
To turn them all upon their proper heads.,To hurl upon their heads that break his law.
"Yes, my lord.","What, my lord?"
"Yes, my lord.","My lord,"
"Yes, my lord.",My lord?
"Yes, my lord.","My lord,"
"Yes, my lord.",My lord?
"Yes, my lord.",My lord?
"Yes, my lord.","Ye shall, my Lord."
"Yes, my lord.",My lord!
"Yes, my lord.",My Lord!
"Yes, my lord.",My lord!
"Yes, my lord.","It is, my lord."
"Yes, my lord.",My lord?
"Yes, my lord.",My lord?
"Yes, my lord.","It is, my lord."
"Yes, my lord.",My lord!
"Yes, my lord.","No doubt, my lord."
"Yes, my lord.","Not I, my lord."
"Yes, my lord.",My lord?
"Yes, my lord.","No, my lord."
"Yes, my lord.","No, indeed, my lord."
will make you surfeit.,For fear I surfeit.
"So it would, my lord, 'specially  having so small","And lessen'd be that small, God, I beseech thee!"
"Ay, my lord.","Ay, ay."
"Ay, my lord.","Ay, my good lord; and no one in this presence"
"Ay, my lord.","Ay, boy."
"Ay, my lord.","Ay, my good lord."
"Ay, my lord.","Ay, my lord;"
"Ay, my lord.",Ay.
"Ay, my lord.","Ay, my good lord."
"Ay, my lord.","Ay, my good lord."
What do mine eyes behold? my husband dead!,What ugly sights of death within mine eyes!
And guiltlessly endure a cruel death;,And die in terror of thy guiltiness!
"And now, my lords and loving followers,","And for your grace; and you, my noble lords."
We will our rites  of marriage solemnize.,Straight shall our nuptial rites be solemnized:
We will our rites  of marriage solemnize.,Our feast shall be much honour'd in your marriage.
We will our rites  of marriage solemnize.,For you shall hence upon your wedding-day:
"That thou thyself, then County Palatine,",Then there is the County Palatine.
"Then County Palatine, but now a king,",Then there is the County Palatine.
"Of whose conditions  and our solemn oaths,","An oath, an oath, I have an oath in heaven:"
"Thou shalt be crown'd a king, and be my mate!","Thou shalt get kings, though thou be none:"
"Yet would I venture to conduct your grace,","For my part, I'll resign unto your grace"
"Yet would I venture to conduct your grace,","To-morrow, then, we will attend your grace:"
"Thou shalt be made a king and reign with me,","And, look, when I am king, claim thou of me"
"Thou shalt be made a king and reign with me,","Thou shalt get kings, though thou be none:"
"Thou shalt be king before them, and thy seed","Thou shalt get kings, though thou be none:"
"These words assure me, boy, thou art my son.",Art thou my son?
"I will, my lord.","We will, my noble lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","You shall, my lord."
"I will, my lord.","Ye shall, my Lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","My lord, I will not."
"And, till I die, thou shalt not be interr'd.",And take a bond of fate: thou shalt not live;
"And, till I die, thou shalt not be interr'd.",And take a bond of fate: thou shalt not live;
And now I doubt not but your royal cares,"But not, as I am, royal."
"Well, then, my noble lords, for this my friend","But you, my noble lords, may name the time;"
"Why, I thank your majesty.",God make your majesty joyful as you have been!
"Why, I thank your majesty.",The news I have to tell your majesty
"Why, I thank your majesty.",Thanks to your majesty.
"Why, I thank your majesty.",God make your majesty joyful as you have been!
"Why, I thank your majesty.",The news I have to tell your majesty
"Why, I thank your majesty.",Thanks to your majesty.
Death and destruction to the inhabitants!,"Welcome, destruction, death, and massacre!"
"My boy, thou shalt not lose a drop of blood",Ere thou shalt lose for me one drop of blood.
"My boy, thou shalt not lose a drop of blood","Shed thou no blood, nor cut thou less nor more"
"That hath betray'd my gracious sovereign,",My gracious sovereign?
"Yes, my lord, yes; come, let's about it.","No, indeed, my lord."
"Shall ransom thee, thy wife, and family.","And spurn upon thee, beggar, for thy boldness."
"We will, my lord.","We will, my noble lord."
"We will, my lord.","You shall, my lord."
"We will, my lord.","Ye shall, my Lord."
"We will, my lord.","Here, my lord."
"We will, my lord.","My lord, I will not."
"We will, my lord.","We shall, my lord,"
"Trumpets and drums, alarum presently!","A flourish, trumpets! strike alarum, drums!"
"Trumpets and drums, alarum presently!","A flourish, trumpets! strike alarum, drums!"
"Come, good my lord, and let us haste from hence,","I will make haste: but, till I come again,"
"Come, good my lord, and let us haste from hence,","Good lords, make all the speedy haste you may."
"Farewell, sweet wife! sweet son, farewell! I die.","Farewell, father."
And purge my soul before it come to thee!,"And let the soul forth that adoreth thee,"
"Are come, since last we shew'd your  majesty.",Are come from visiting his majesty.
To see the slaughter of our enemies.,To watch the waning of mine adversaries.
"Well, in despite of thee, he shall be king.",Lest he that is the supreme King of kings
"to that exigent, I warrant thee.",I warrant thee.
"You shall be princes all, immediately.","And doubt you not, right noble princes both,"
"Here, my lord.","My lord,"
"Here, my lord.","My lord,"
"Here, my lord.",My lord!
"Here, my lord.",My Lord!
"Here, my lord.",My lord!
"Here, my lord.","Here, my lord."
"Here, my lord.",My lord!
anon amongst them.,Anon.
"Bring them, my boys, and tell me if the wars",Bring them before us.
"Shall we let go these kings again, my lord,",Your children shall be kings.
Let all of us entreat your highness' pardon.,Implored your highness' pardon and set forth
"We will, my lord.","We will, my noble lord."
"We will, my lord.","You shall, my lord."
"We will, my lord.","Ye shall, my Lord."
"We will, my lord.","Here, my lord."
"We will, my lord.","My lord, I will not."
"We will, my lord.","We shall, my lord,"
"My lord and husband's death, with my sweet son's,",My father's death--
I'll use some other means to make you yield:,"I will not yield,"
What is it?,What is it?
By which I hold my name and majesty!,His majesty
"Here, my lord.","My lord,"
"Here, my lord.","My lord,"
"Here, my lord.",My lord!
"Here, my lord.",My Lord!
"Here, my lord.",My lord!
"Here, my lord.","Here, my lord."
"Here, my lord.",My lord!
We thank your majesty.,God make your majesty joyful as you have been!
We thank your majesty.,Thanks to your majesty.
"Villain, respect'st thou  more thy slavish life","Villain, thou know'st no law of God nor man:"
"Tyrant, I turn the traitor in thy throat,",What does the tyrant?
"Who have ye there, my lords?",lords: they have acquainted me with their
"Who have ye there, my lords?","Have I since your departure had, my lords."
"I will, my lord.","We will, my noble lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","You shall, my lord."
"I will, my lord.","Ye shall, my Lord."
"I will, my lord.","I go, my lord."
"I will, my lord.","My lord, I will not."
And take such fortune as your fellows felt.,"And hold your fortune for your bliss,"
"Here they are, my lord.","Here, my lord."
"And make him, after all these overthrows,",Have overthrown him.
To signify the slaughter of the gods.,To signify their coming.
To signify the slaughter of the gods.,To appease an angry god.
"No, strike the drums, and, in revenge of this,",Strike the drum.
"That can endure so well your royal presence,",To be so bouted in this royal presence?
Begins the day with our Antipodes!,"We should hold day with the Antipodes,"
"My lord, you must obey his majesty,",His majesty
"My lord, you must obey his majesty,","Then, good my lord, take to your royal self"
"My lord, you must obey his majesty,","My royal lord,"
"And send my soul, before my father die,","That I will shortly send thy soul to heaven,"
"So, reign, my son; scourge and control those slaves,","Tell me, thou villain slave, where are my children?"
